index,rating,title,text,date,dateDisplay,helpfulCount
0,1,Login broken,App keeps logging me out and OTP never arrives. Can't login since last update.,2026-03-11,March 11 2026,12
1,2,Slow and crashy,Portfolio page takes forever to load and sometimes crashes.,2026-03-14,March 14 2026,7
2,1,Nominee update issue,Trying to update nominee but it fails every time. Please fix nominee update flow.,2026-03-16,March 16 2026,5
3,3,Okay but confusing,The UI is confusing for statements and tax docs download.,2026-03-20,March 20 2026,2
4,2,SIP mandate problems,My SIP mandate setup failed twice. Need clearer steps for mandate.,2026-03-21,March 21 2026,3
5,1,Withdrawal delayed,Redemption shows pending for too long. Withdrawal timeline is unclear.,2026-03-23,March 23 2026,9
6,4,Good support,Support helped me understand statement download. Still app feels slow.,2026-03-25,March 25 2026,4
7,1,Login OTP issue,OTP not coming and I'm stuck at login screen.,2026-03-28,March 28 2026,11
8,2,Nominee update bug,Nominee update keeps erroring out. Can't save changes.,2026-04-02,April 02 2026,6
9,3,Needs improvements,App is fine but performance is laggy and navigation could be better.,2026-04-04,April 04 2026,1

